country,cowc,cown,iso3c,iso3n,country_id
Afghanistan,AFG,700,AFG,4,36
Albania,ALB,339,ALB,8,12
Algeria,ALG,615,DZA,12,103
Andorra,AND,232,AND,20,NA
Angola,ANG,540,AGO,24,104
Argentina,ARG,160,ARG,32,37
Armenia,ARM,371,ARM,51,105
Aruba,NA,NA,ABW,533,NA
Australia,AUL,900,AUS,36,67
Austria,AUS,305,AUT,40,144
Azerbaijan,AZE,373,AZE,31,106
Bahamas,BHM,31,BHS,44,NA
Bahrain,BAH,692,BHR,48,NA
Bangladesh,BNG,771,BGD,50,24
Barbados,BAR,53,BRB,52,147
Belarus,BLR,370,BLR,112,107
Belgium,BEL,211,BEL,56,148
Benin,BEN,434,BEN,204,52
Bolivia,BOL,145,BOL,68,25
Bosnia and Herzegovina,BOS,346,BIH,70,150
Botswana,BOT,571,BWA,72,68
Brazil,BRA,140,BRA,76,19
Brunei,BRU,835,BRN,96,NA
Bulgaria,BUL,355,BGR,100,152
Burkina Faso,BFO,439,BFA,854,54
Cambodia,CAM,811,KHM,116,55
Cameroon,CAO,471,CMR,120,108
Canada,CAN,20,CAN,124,66
Central African Republic,CEN,482,CAF,140,71
Chad,CHA,483,TCD,148,109
Chile,CHL,155,CHL,152,72
China,CHN,710,CHN,156,110
Colombia,COL,100,COL,170,15
Congo,CON,484,COG,178,112
Costa Rica,COS,94,CRI,188,73
Croatia,CRO,344,HRV,191,154
Cuba,CUB,40,CUB,192,155
Cyprus,CYP,352,CYP,196,156
Czech Republic,CZR,316,CZE,203,157
Democratic Republic of the Congo,DRC,490,COD,180,111
Denmark,DEN,390,DNK,208,158
Dominican Republic,DOM,42,DOM,214,114
Ecuador,ECU,130,ECU,218,75
Egypt,EGY,651,EGY,818,13
El Salvador,SAL,92,SLV,222,22
Equatorial Guinea,EQG,411,GNQ,226,NA
Eritrea,ERI,531,ERI,232,115
Estonia,EST,366,EST,233,161
Ethiopia,ETH,530,ETH,231,38
Fiji,FIJ,950,FJI,242,162
Finland,FIN,375,FIN,246,163
France,FRN,220,FRA,250,76
Gabon,GAB,481,GAB,266,116
Georgia,GRG,372,GEO,268,118
Germany,GMY,255,DEU,276,77
Ghana,GHA,452,GHA,288,7
Gibraltar,NA,NA,GIB,292,NA
Greece,GRC,350,GRC,300,164
Greenland,NA,NA,GRL,304,NA
Guatemala,GUA,90,GTM,320,78
Guinea,GUI,438,GIN,324,63
Guyana,GUY,110,GUY,328,166
Haiti,HAI,41,HTI,332,26
Honduras,HON,91,HND,340,27
Hungary,HUN,310,HUN,348,210
Iceland,ICE,395,ISL,352,168
India,IND,750,IND,356,39
Indonesia,INS,850,IDN,360,56
Iran,IRN,630,IRN,364,79
Iraq,IRQ,645,IRQ,368,80
Ireland,IRE,205,IRL,372,81
Israel,ISR,666,ISR,376,169
Italy,ITA,325,ITA,380,82
Ivory Coast,CDI,437,CIV,384,64
Jamaica,JAM,51,JAM,388,120
Japan,JPN,740,JPN,392,9
Jordan,JOR,663,JOR,400,83
Kazakhstan,KZK,705,KAZ,398,121
Kenya,KEN,501,KEN,404,40
Kosovo,KOS,347,UNK,NA,43
Kuwait,KUW,690,KWT,414,NA
Kyrgyzstan,KYR,703,KGZ,417,122
Lao People's Democratic Republic,LAO,812,LAO,418,123
Latvia,LAT,367,LVA,428,84
Lebanon,LEB,660,LBN,422,44
Libya,LIB,620,LBY,434,124
Liechtenstein,LIE,223,LIE,438,NA
Lithuania,LIT,368,LTU,440,173
Luxembourg,LUX,212,LUX,442,NA
Macedonia,MAC,343,MKD,807,176
Madagascar,MAG,580,MDG,450,125
Malaysia,MAL,820,MYS,458,177
Maldives,MAD,781,MDV,462,88
Mali,MLI,432,MLI,466,28
Malta,MLT,338,MLT,470,NA
Martinique,NA,NA,MTQ,474,NA
